objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"The Hearmees","237212","7","","0","1","0","0","0","0","0","0","0","3","","","","","","103842725","5.53325","6.68947","1.8571","13409","132","thing","The Hearmees","3","4","20","20","15","2017","3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hit Z Road","176083","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824698","6.33432","6.76448","1.8556","1518","7598","thing","Hit Z Road","1","4","60","60","30","2016","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive","2655","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829554","7.17855","7.31688","2.3221","280","47931","thing","Hive","2","2","20","20","20","2000","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"HMS Dolores","194523","7","","0","1","0","0","0","0","0","0","0","3","","","","","","60304241","5.75572","6.12799","1.3182","4608","2748","thing","HMS Dolores","2","4","20","20","20","2016","3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Horizons of Spirit Island","367498","8","","0","1","0","0","0","0","0","0","0","3","","","","","","103842635","6.30823","8.44805","3.5192","1587","3251","thing","Horizons of Spirit Island","1","3","120","120","90","2022","1,2,3","2","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Horrified","282524","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68075522","7.35455","7.68517","2.0521","173","28045","thing","Horrified","1","5","60","60","60","2019","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"ICECOOL","177524","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828287","6.57325","6.79658","1.0377","1029","17423","thing","ICECOOL","2","4","30","30","30","2016","3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"In a Flash Firefighters","296354","6","","0","1","0","0","0","0","0","0","0","3","","","","","","97147576","5.52345","6.37833","1","15252","142","thing","In a Flash Firefighters","2","4","15","15","15","2020","2,3,4","2,4","4+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Incan Gold","15512","8","","0","1","0","0","0","0","0","0","0","3","","","","","","65133740","6.69441","6.82894","1.1107","824","25466","thing","Incan Gold","3","8","30","30","30","2005","3,4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jamaica","28023","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57823818","6.88796","7.06331","1.661","568","27025","thing","Jamaica","2","6","60","60","30","2007","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaws","272738","7","1","0","1","0","0","0","0","0","0","0","3","","Only the first act is worth playing. But the first act is a very fun and short asymmetric hidden movement game.","","","","62701468","6.6342","7.13088","2.1573","933","13947","thing","Jaws","2","4","60","60","60","2019","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57825109","7.41619","7.59573","1.0449","145","37975","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kaosball: The Fantasy Sport of Total Domination","139992","6","","0","1","0","0","0","0","0","0","0","3","","","","","","58886862","5.79775","6.55375","2.5143","4172","1973","thing","Kaosball: The Fantasy Sport of Total Domination","2","4","60","60","30","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kero","222219","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","68649774","6.11998","7.11135","1.975","2233","3161","thing","Kero","2","2","30","30","30","2018","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"King of New York","160499","9","","0","1","0","0","0","0","0","0","0","1","","","","","","60304225","6.70861","6.89881","1.8571","801","24853","thing","King of New York","2","6","40","40","40","2014","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","8","","0","1","0","0","0","0","0","0","0","3","","","","","","52754172","7.04732","7.14505","1.4881","390","97087","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo: Power Up!","127067","9","","0","1","0","0","0","0","0","0","0","3","","","","","","52754174","7.26273","7.60152","1.7104","0","30956","thing","King of Tokyo: Power Up!","2","6","30","30","30","2012","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdomino","204583","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829588","7.2043","7.32098","1.2196","265","73407","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingsport Festival","154509","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57829377","6.11549","6.66631","2.6105","2254","4641","thing","Kingsport Festival","3","5","90","90","90","2014","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"KLASK","165722","8","","0","1","0","0","0","0","0","0","0","3","","","","","","90596157","7.22759","7.62765","1.0663","251","12588","thing","KLASK","2","2","10","10","10","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Libertalia","125618","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57823721","6.91302","7.12786","2.2395","530","14587","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68075704","7.11995","7.22034","1.4832","328","62654","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830355","7.12902","7.22469","1.1869","314","106118","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Adventure Time","175307","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830365","6.27378","7.24485","1.0667","1691","3844","thing","Love Letter: Adventure Time","2","4","20","20","20","2015","3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Premium Edition","196326","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57830358","6.89902","7.43657","1.3267","553","9747","thing","Love Letter: Premium Edition","2","8","30","30","20","2016","3,4,5,6,7,8","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic Maze","209778","5.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829523","6.81564","6.97376","1.7731","646","30996","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824956","7.73646","7.97204","2.6701","51","53096","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Memoir '44","10630","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824916","7.35992","7.54368","2.2748","171","39012","thing","Memoir '44","2","8","60","60","30","2004","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Metro X","248861","8","","0","1","0","0","0","0","0","0","0","3","","","","","","79179441","6.27221","7.1383","1.7619","1694","3230","thing","Metro X","1","6","20","20","20","2018","1,2,3,4,5,6","1,2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City","318977","9","","0","1","0","0","0","0","0","0","0","3","","","","","","90596131","7.27201","7.55942","1.1111","221","26144","thing","MicroMacro: Crime City","1","4","45","45","15","2020","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mind","244992","7.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","57829535","6.66159","6.78437","1.074","879","48996","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Castle Panic","267314","6","","0","1","0","0","0","0","0","0","0","3","","","","","","79179576","5.76015","6.47271","1.0952","4562","1796","thing","My First Castle Panic","1","4","20","20","20","2019","1,2,3,4","3","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My Little Scythe","226320","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824718","6.76278","7.27121","2","717","12033","thing","My Little Scythe","1","6","60","60","45","2017","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"My Very First Games: Rhino Hero Junior","321711","7","","0","1","0","0","0","0","0","0","0","3","","","","","","97147671","5.51981","6.30575","1","15981","214","thing","My Very First Games: Rhino Hero Junior","1","4","20","20","10","2020","2","2","2–5","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829609","7.10091","7.23891","1.9065","348","65708","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythe","139629","6","","0","1","0","0","0","0","0","0","0","3","","","","","","68075555","5.58536","5.91587","1.3846","8655","1149","thing","Mythe","2","5","20","20","20","2012","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"New York Slice","208895","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824740","6.27926","6.70871","1.4444","1672","5525","thing","New York Slice","2","6","30","30","30","2017","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thank You, Evil!","208428","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","103842742","5.74214","7.52682","1.7","4782","1295","thing","No Thank You, Evil!","2","5","30","30","30","2016","2,3,4,5","3,4","4–10","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thanks!","12942","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57833525","6.94825","7.07112","1.1347","490","35600","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onirim (Second Edition)","156336","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57882580","6.76553","7.05055","1.583","714","13605","thing","Onirim (Second Edition)","1","2","15","15","15","2014","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Outfoxed!","172931","9","","0","1","0","0","0","0","0","0","0","3","","","","","","79179568","6.57072","7.17018","1.1091","1036","8075","thing","Outfoxed!","2","4","20","20","20","2014","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754149","7.44566","7.55092","2.4025","132","189621","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","52754151","8.38979","8.53607","2.8322","2","78243","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 2","221107","7","","0","1","0","0","0","0","0","0","0","3","","","","","","61604906","7.74013","8.05376","3.2483","50","30356","thing","Pandemic Legacy: Season 2","2","4","60","60","60","2017","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: In the Lab","137136","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57829475","7.1726","7.85766","2.8951","0","19719","thing","Pandemic: In the Lab","1","6","60","60","45","2013","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Pandemic: On the Brink","40849","4","","0","1","0","0","0","0","0","0","0","3","","","","","","57829464","7.74643","8.04734","2.6553","0","49003","thing","Pandemic: On the Brink","2","5","45","45","45","2009","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Paris: La Cité de la Lumière","276498","0","","0","1","0","0","0","0","0","0","0","3","","","","","","79179544","6.70621","7.3381","2.0459","804","8803","thing","Paris: La Cité de la Lumière","2","2","30","30","30","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754143","7.50141","7.60702","1.6072","111","94011","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Perudo","45","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830412","6.71173","6.90513","1.2587","794","19100","thing","Perudo","2","6","30","30","15","1800","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Phantom Ink","330592","9","","0","1","0","0","0","0","0","0","0","3","","","","","","97147516","5.85268","7.54848","1.125","3663","992","thing","Phantom Ink","4","8","15","15","10","2022","4,5,6,7,8","6","12","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Piece of Pie","301009","7","","0","1","0","0","0","0","0","0","0","1","","","","","","79179413","5.55674","6.74543","1.5","10564","212","thing","Piece of Pie","2","4","15","15","15","2020","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Power Grid: The Card Game","203780","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832741","6.08548","6.70561","2.4167","2362","4313","thing","Power Grid: The Card Game","2","6","60","60","45","2016","2,3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pups","200512","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57832848","5.60783","6.91902","1.5","7608","345","thing","Pups","2","5","30","30","15","2016","3,4,5","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Pyramid Arcade","187988","8.5","","0","1","0","0","0","0","0","0","0","1","","","","","","58789526","6.12852","7.84518","2.3077","0","2271","thing","Pyramid Arcade","1","10","180","180","5","2016","1,2,3,4,5,6,7","2,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pyramid Poker","213953","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57824726","5.75568","6.34518","1.25","4609","1246","thing","Pyramid Poker","2","2","30","30","10","2017","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Quacks of Quedlinburg","244521","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","68075670","7.69401","7.83872","1.9509","61","64875","thing","The Quacks of Quedlinburg","2","4","45","45","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Quiddler","339","1.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57831232","5.84655","6.11375","1.4234","3724","8255","thing","Quiddler","1","8","30","30","30","1998","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Raptor","177639","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824817","6.94116","7.25536","2.0644","496","14396","thing","Raptor","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rattlebones","150146","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832662","5.84451","6.47797","1.5714","3744","1795","thing","Rattlebones","2","4","30","30","15","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Red Dragon Inn","24310","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829626","6.26536","6.56441","1.6614","1712","13820","thing","The Red Dragon Inn","2","4","45","45","45","2007","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance: Avalon","128882","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754161","7.34736","7.52919","1.7463","177","45596","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rhino Hero: Super Battle","218333","8","","0","1","0","0","0","0","0","0","0","3","","","","","","97147663","6.73098","7.24745","1.1096","765","9299","thing","Rhino Hero: Super Battle","2","4","20","20","10","2017","2,3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rising 5: Runes of Asteros","185196","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824694","5.98559","6.51786","1.9032","2818","3127","thing","Rising 5: Runes of Asteros","1","5","25","25","15","2017","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Robot Turtles","147370","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828172","5.67726","5.96765","1.3421","5780","3682","thing","Robot Turtles","2","5","15","15","15","2013","2,3,4","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur","9220","6","","0","1","0","0","0","0","0","0","0","1","","","","","","57833456","6.43348","6.55173","1.3221","1299","51923","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada","199561","9","","0","1","0","0","0","0","0","0","0","3","","","","","","103842857","7.34236","7.48573","1.9233","180","59777","thing","Sagrada","1","4","45","45","30","2017","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"San Juan (Second Edition)","166669","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","90596247","7.0375","7.46593","2.0909","399","10463","thing","San Juan (Second Edition)","2","4","60","60","45","2014","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Say Anything","33604","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57829564","6.39664","6.71217","1.0909","1374","10301","thing","Say Anything","3","8","30","30","30","2008","4,5,6,7,8","6,7,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Schotten Totten","372","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","90596266","7.04024","7.34571","1.7107","397","17683","thing","Schotten Totten","2","2","20","20","20","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrimish Card Game","189890","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832791","5.53971","5.88768","1.125","12399","1080","thing","Scrimish Card Game","2","999","100","100","10","2015","2,3,4,5","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Hitler","188834","4","","0","1","0","0","0","0","0","0","0","1","","","","","","57829414","7.27433","7.51941","1.6948","220","36112","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sentinels of the Multiverse","102652","3","","0","1","0","0","0","0","0","0","0","3","","","","","","57832720","6.90263","7.16081","2.5115","546","22214","thing","Sentinels of the Multiverse","2","5","60","60","30","2011","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows over Camelot","15062","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824904","6.94942","7.10348","2.5673","487","33611","thing","Shadows over Camelot","3","7","80","80","60","2005","4,5,6,7","5,6,7","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shark Island","197909","3.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829384","5.47566","5.24303","2.6","23086","462","thing","Shark Island","2","5","60","60","30","2017","4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sheriff of Nottingham","157969","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824779","6.95742","7.08426","1.6543","475","51379","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","2511","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828136","7.42961","7.65568","2.6751","138","39251","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","1982","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57829348","7.02212","7.19704","1.1178","416","31752","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sonar","231819","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824702","6.03539","6.70882","1.8889","2570","4957","thing","Sonar","2","4","30","30","30","2017","2,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SOS Dino","244320","6","","0","1","0","0","0","0","0","0","0","3","","","","","","103842850","5.83531","6.89051","1.0714","3814","1323","thing","SOS Dino","1","4","25","25","25","2018","1,2,3,4","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island","162886","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","90595841","8.15317","8.35618","4.0618","11","65826","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island: Branch & Claw","193065","7","","0","1","0","0","0","0","0","0","0","3","","","","","","103842631","7.96932","8.93745","4.2139","0","20631","thing","Spirit Island: Branch & Claw","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island: Feather & Flame","356510","7","","0","1","0","0","0","0","0","0","0","1","","","","","","103842642","6.09598","9.00353","4.5385","0","2555","thing","Spirit Island: Feather & Flame","1","4","120","120","90","2022","1,2,3,4","2,3","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island: Jagged Earth","262722","8","","0","1","0","0","0","0","0","0","0","3","","","","","","103842626","7.97318","9.3663","4.5531","0","14044","thing","Spirit Island: Jagged Earth","1","6","120","120","90","2020","1,2,3,4,5,6","2,3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Spyfall","166384","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828128","6.66745","6.79842","1.2378","871","28340","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Trek Panic","193737","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828195","6.18789","6.97152","2","1964","3937","thing","Star Trek Panic","1","6","90","90","90","2016","1,2,3,4,5,6","1,3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Empire vs. Rebellion","160964","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829360","5.86805","6.27909","1.7471","3562","4774","thing","Star Wars: Empire vs. Rebellion","2","2","60","60","60","2014","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","6","","0","1","0","0","0","0","0","0","0","1","","","","","","62701478","7.68645","7.97245","3.3041","63","40600","thing","Star Wars: Imperial Assault","1","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis!","2653","9","","0","1","0","0","0","0","0","0","0","1","","","","","","80786845","7.1324","7.31475","1.6981","312","36279","thing","Survive: Escape from Atlantis!","2","4","60","60","45","1982","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828303","7.25189","7.4092","1.3027","236","56939","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828301","6.90399","7.01394","1.1586","544","76831","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Roll","271869","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68649769","6.51015","7.05097","1.2414","1143","8048","thing","Sushi Roll","2","5","20","20","20","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","7","","0","1","0","0","0","0","0","0","0","3","","-Gorgeous art work
-Clean, easy to learn/teach mechanics
-Immersive story telling
-Instant recommendation for any audience 13+","","","","40821596","7.23072","7.41729","2.5969","250","39744","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories: A Prophecy of Dragons","189035","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57824860","6.98257","7.55793","2.6429","0","14189","thing","T.I.M.E Stories: A Prophecy of Dragons","2","4","180","180","90","2016","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Estrella Drive","220836","1","","0","1","0","0","0","0","0","0","0","3","","","","","","57824875","6.336","7.22731","2.25","0","6468","thing","T.I.M.E Stories: Estrella Drive","2","4","90","90","90","2017","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
